Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales_pred
4.231282661840246,ppg5_1,2020-03-01,2020,3,9,16.581167536150215,16.53604,0.8671020809693325,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.511920387524384
5.027826785941213,ppg5_1,2020-03-08,2020,3,10,16.581167536150215,20.99254,0.8665268888758205,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.30788931953184
3.659089987475545,ppg5_1,2020-03-15,2020,3,11,16.581167536150215,16.35872,0.8645137165485286,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93713934873888
4.702324806699999,ppg5_1,2020-03-22,2020,3,12,16.581167536150215,21.47938,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.513683043535465
5.5226018258274125,ppg5_1,2020-03-29,2020,3,13,16.581167536150215,24.8025,0.8630757363147485,-0.16763189143540844,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,24.10329583189012
4.9800094734942695,ppg5_1,2020-04-05,2020,4,14,16.581167536150215,17.974179999999997,0.8607749679407005,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.254320086149775
4.679851712826762,ppg5_1,2020-04-12,2020,4,15,16.581167536150215,19.87622,1.1384968837580751,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.176006944154512
4.6889106837911605,ppg5_1,2020-04-19,2020,4,16,16.581167536150215,20.66822,0.8518594904912645,-0.16763189143540844,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,23.19134821565053
4.19297573581392,ppg5_1,2020-04-26,2020,4,17,16.581167536150215,17.58792,1.1323615014272808,-0.22350918858054458,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,22.920037981464173
4.504161271145742,ppg5_1,2020-05-03,2020,5,18,16.581167536150215,17.03902,0.8492711260704606,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789412892827271,23.556380934758284
5.516497489480266,ppg5_1,2020-05-10,2020,5,19,16.581167536150215,31.4203,0.8495587221172167,-0.16763189143540844,1.4711585803976843,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,28.112880977492324
4.110396045513901,ppg5_1,2020-05-17,2020,5,20,16.581167536150215,13.30574,1.1300607330532326,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.598115126136804
4.740211033316447,ppg5_1,2020-05-24,2020,5,21,16.581167536150215,14.66394,1.1304441944489076,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.228313575335026
4.999176872032634,ppg5_1,2020-05-31,2020,5,22,16.581167536150215,19.50788,1.1304441944489076,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.487279414051216
5.306202314158013,ppg5_1,2020-06-07,2020,6,23,16.581167536150215,19.30382,1.1300607330532326,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,24.961689473676834
4.5958140272442165,ppg5_1,2020-06-14,2020,6,24,16.581167536150215,18.60418,1.1289103488662087,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.082382723680098
6.296838168900615,ppg5_1,2020-06-21,2020,6,25,16.581167536150215,19.06758,0.8481207418834366,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55849455549886
4.938568798529294,ppg5_1,2020-06-28,2020,6,26,16.581167536150215,22.27832,1.1304441944489076,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,24.59443941944379
4.704424987154672,ppg5_1,2020-07-05,2020,7,27,16.581167536150215,23.17402,1.1304441944489076,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19252752917325
4.701765712633212,ppg5_1,2020-07-12,2020,7,28,16.581167536150215,21.611,1.1308276558445822,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.190251716047463
4.765751877649208,ppg5_1,2020-07-19,2020,7,29,16.581167536150215,18.67046,1.1300607330532326,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25347095827211
