PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg6_0,12-07-2020,2020,7,28,27.0004476,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,41.51428,45.79426764
ppg6_0,19-07-2020,2020,7,29,82.29478152,5.368911407,14.78448795,0,0,10.63273625,0,0,0,0,118.73432,113.0809171
ppg6_0,26-07-2020,2020,7,30,9.573896445,5.368911407,0,0,0,0,0,0,0,0,14.81502,14.94280785
ppg6_0,02-08-2020,2020,8,31,36.91646278,5.368911407,14.78448795,0,0,10.63273625,0,0,0,-0.42028751,55.85534,67.28231088
ppg6_0,09-08-2020,2020,8,32,10.49918528,5.368911407,0,0,0,0,0,0,0,0,15.7591,15.86809668
ppg6_0,16-08-2020,2020,8,33,16.37777307,5.368911407,0,0,0,0,0,0,0,0,33.58334,21.74668448
ppg6_0,23-08-2020,2020,8,34,9.211981642,5.368911407,0,0,0,0,0,0,0,0,13.54094,14.58089305
ppg6_0,30-08-2020,2020,8,35,39.93065372,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,51.95414,58.72447375
ppg6_0,06-09-2020,2020,9,36,12.9590375,5.368911407,0,0,0,0,0,0,0,0,27.8502,18.3279489
ppg6_0,13-09-2020,2020,9,37,75.47729807,5.368911407,14.78448795,0,0,10.63273625,0,0,0,0,99.3891,106.2634337
ppg6_0,20-09-2020,2020,9,38,18.48342554,5.368911407,0,0,0,0,0,0,0,0,31.71454,23.85233695
ppg6_0,27-09-2020,2020,9,39,13.8273853,5.368911407,0,0,0,0,0,0,0,0,29.1526,19.19629671
